Scenario,Trial,Seed,Alpha,Beta,Gamma,Turn,Drones,Victims,Intel,Adv,Accepts,Rejects,Successes,Fails,Score,Heat
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1180.0,0,0,40,128,0,61,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1190.0,0,0,40,128,0,61,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1200.0,0,0,40,128,0,62,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1210.0,0,0,40,128,0,63,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1220.0,0,0,40,128,0,63,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1230.0,0,0,40,128,0,63,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1240.0,0,0,40,128,0,63,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1250.0,0,0,41,131,0,64,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1260.0,0,0,41,131,0,65,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1270.0,0,0,41,131,0,65,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1280.0,0,0,41,131,0,66,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1290.0,0,0,41,131,0,66,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1300.0,0,0,41,131,0,68,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1310.0,0,0,41,131,0,68,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1320.0,0,0,41,131,0,68,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1330.0,0,0,41,131,0,68,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1340.0,0,0,41,131,0,69,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1350.0,0,0,41,131,0,70,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1360.0,0,0,41,131,0,70,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1370.0,0,0,41,131,0,71,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1380.0,0,0,41,131,0,71,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1390.0,0,0,41,131,0,71,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1400.0,0,0,41,131,0,72,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1410.0,0,0,41,131,0,72,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1420.0,0,0,41,131,0,72,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1430.0,0,0,41,131,0,72,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1440.0,0,0,41,131,0,72,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1450.0,0,0,41,131,0,74,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1460.0,0,0,41,131,0,74,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1470.0,0,0,41,131,0,75,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1480.0,0,0,41,131,0,75,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1490.0,0,0,42,133,0,76,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1500.0,0,0,43,134,0,79,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1510.0,0,0,43,134,0,80,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1520.0,0,0,43,134,0,81,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1530.0,0,0,44,136,0,83,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1540.0,0,0,44,136,0,83,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1550.0,0,0,44,136,0,84,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1560.0,0,0,44,136,0,84,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1570.0,0,0,44,136,0,87,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1580.0,0,0,44,136,0,89,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1590.0,0,0,44,136,0,89,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1600.0,0,0,44,136,0,89,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1610.0,0,0,44,136,0,89,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1620.0,0,0,44,136,0,89,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1630.0,0,0,44,136,0,89,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1640.0,0,0,44,136,0,89,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1650.0,0,0,44,136,0,90,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1660.0,0,0,44,136,0,90,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1670.0,0,0,44,136,0,91,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1680.0,0,0,44,136,0,91,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1690.0,0,0,44,136,0,92,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1700.0,0,0,44,136,0,93,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1710.0,0,0,44,136,0,94,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1720.0,0,0,44,136,0,95,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1730.0,0,0,44,136,0,95,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1740.0,0,0,44,136,0,96,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1750.0,0,0,44,136,0,97,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1760.0,0,0,44,136,0,97,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1770.0,0,0,44,136,0,98,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1780.0,0,0,44,136,0,98,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1790.0,0,0,44,136,0,98,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1800.0,0,0,44,136,0,99,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1810.0,0,0,44,136,0,99,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1820.0,0,0,44,136,0,100,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1830.0,0,0,44,136,0,100,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1840.0,0,0,44,136,0,100,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1850.0,0,0,44,136,0,100,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1860.0,0,0,44,136,0,100,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1870.0,0,0,44,136,0,102,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1880.0,0,0,44,136,0,103,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1890.0,0,0,44,136,0,104,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1900.0,0,0,44,136,0,106,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1910.0,0,0,44,136,0,106,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1920.0,0,0,44,136,0,107,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1930.0,0,0,44,136,0,108,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1940.0,0,0,44,136,0,109,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1950.0,0,0,44,136,0,109,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1960.0,0,0,44,136,0,111,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1970.0,0,0,44,136,0,113,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1980.0,0,0,44,136,0,115,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,1990.0,0,0,44,136,0,115,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2000.0,0,0,44,136,0,116,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2010.0,0,0,44,136,0,117,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2020.0,0,0,44,136,0,118,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2030.0,0,0,44,136,0,118,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2040.0,0,0,44,136,0,118,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2050.0,0,0,44,136,0,118,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2060.0,0,0,44,136,0,118,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2070.0,0,0,44,136,0,118,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2080.0,0,0,44,136,0,119,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2090.0,0,0,44,136,0,120,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2100.0,0,0,44,136,0,121,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2110.0,0,0,44,136,0,122,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2120.0,0,0,44,136,0,122,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2130.0,0,0,44,136,0,123,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2140.0,0,0,44,136,0,123,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2150.0,0,0,44,136,0,123,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2160.0,0,0,44,136,0,124,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2170.0,0,0,44,136,0,125,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2180.0,0,0,44,136,0,125,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2190.0,0,0,44,136,0,125,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2200.0,0,0,44,136,0,125,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2210.0,0,0,44,136,0,125,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2220.0,0,0,44,136,0,125,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2230.0,0,0,44,136,0,125,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2240.0,0,0,44,136,0,128,0,0,0.0,0.0
ReconDSelfish,21,880879381715801850,0.875,0.875,0.875,2250.0,0,0,44,136,0,129,0,0,0.0,0.0
